File Name,User ID,Container Type,Problem Set Index,Household,Total Time Elapsed (mins),round_1_time_elapsed,round_2_time_elapsed,round_3_time_elapsed,round_4_time_elapsed,round_5_time_elapsed,round_6_time_elapsed,ACQ,Comments/Placed non-relevant objects
2024_03_06_15_48_05_BathroomCabinet_problemId9_61005133f83578f7fdcb2a59.json,61005133f83578f7fdcb2a59,BathroomCabinet,9,2,8.2083,3.8235,4.218483333,4.343016667,0.2483666667,2.259466667,2.373133333,FAIL,All empty!
2024_03_04_15_39_01_Fridge_problemId10_5a5aa9dcac5624000153e6f6.json,5a5aa9dcac5624000153e6f6,Fridge,10,1,15.77648333,2.52565,5.073116667,6.405966667,1.326433333,4.970966667,8.448333333,FAIL,Labeled banana without placing it
2024_03_04_19_31_51_KitchenCabinet_problemId14_60fcb7afde5ab78707e377d6.json,60fcb7afde5ab78707e377d6,KitchenCabinet,14,1,10.7076,2.2322,4.368416667,5.846083333,1.50355,2.9222,3.92855,PASS,
2024_02_25_18_12_47_BathroomCabinet_problemId1_64dd3e11a1123030a614608a.json,64dd3e11a1123030a614608a,BathroomCabinet,1,3,11.58923333,1.947266667,3.8933,5.508216667,1.820583333,3.612183333,4.78175,PASS,
2024_02_25_17_52_59_BathroomCabinet_problemId0_5a792c898fe2dc0001058c3b.json,5a792c898fe2dc0001058c3b,BathroomCabinet,0,3,13.03791667,3.915516667,5.278,6.542883333,1.40205,2.64975,4.29155,PASS,
2024_02_25_18_18_40_BathroomCabinet_problemId2_6121aaee9d29f0c6e3bc8bea.json,6121aaee9d29f0c6e3bc8bea,BathroomCabinet,2,3,17.16403333,2.804333333,4.5902,6.2342,1.849383333,3.576516667,4.889633333,PASS,Y
2024_03_06_16_04_29_BathroomCabinet_problemId14_60d9faa609c8dcb9e5e05481.json,60d9faa609c8dcb9e5e05481,BathroomCabinet,14,2,15.15741667,3.259116667,6.007116667,7.734016667,1.938233333,3.359216667,5.347333333,PASS,
2024_03_06_15_37_57_BathroomCabinet_problemId6_610631ba860f21ac066946cf.json,610631ba860f21ac066946cf,BathroomCabinet,6,2,17.55236667,3.383216667,6.6807,8.627416667,1.82905,3.7497,6.389433333,PASS,
2024_03_06_16_06_13_BathroomCabinet_problemId13_5c8ec999bb6a3c00014acf5f.json,5c8ec999bb6a3c00014acf5f,BathroomCabinet,13,2,18.42423333,4.85355,6.9464,9.229616667,2.1005,3.726066667,6.0923,PASS,
2024_03_05_16_20_56_BathroomCabinet_problemId12_5d23460ad4c57900192b129c.json,5d23460ad4c57900192b129c,BathroomCabinet,12,1,9.373616667,1.54035,2.841566667,3.780316667,1.589483333,2.937333333,3.7432,PASS,
2024_02_25_18_25_01_BathroomCabinet_problemId3_565a3d24c51d430005875042.json,565a3d24c51d430005875042,BathroomCabinet,3,3,22.23378333,4.136883333,7.76775,10.61203333,2.7017,5.020316667,8.950283333,PASS,
2024_03_06_16_01_19_BathroomCabinet_problemId10_5b566435d8348500012d2d65.json,5b566435d8348500012d2d65,BathroomCabinet,10,2,20.00786667,2.697683333,5.619183333,11.05666667,1.733083333,4.064783333,6.75285,PASS,
2024_02_25_19_31_19_BathroomCabinet_problemId5_5b6db9e0580154000153cc64.json,5b6db9e0580154000153cc64,BathroomCabinet,5,3,75.61846667,60.25558333,62.0386,63.6114,1.098883333,1.90835,2.66035,PASS,
2024_03_05_09_57_53_Bookshelf_problemId2_615d051e2366aeb051acb734.json,615d051e2366aeb051acb734,Bookshelf,2,1,8.144033333,1.474983333,3.97775,4.900266667,0.8819333333,1.5069,1.910016667,PASS,
2024_03_05_10_00_13_Bookshelf_problemId6_63e576170eb086a90644efb4.json,63e576170eb086a90644efb4,Bookshelf,6,1,9.872583333,2.629816667,3.92225,4.68145,1.13395,1.62555,2.573466667,PASS,
2024_03_05_15_19_36_BathroomCabinet_problemId8_5842eb2904e7550001a06b14.json,5842eb2904e7550001a06b14,BathroomCabinet,8,1,11.95608333,2.630583333,5.0385,6.516466667,1.009733333,2.564366667,4.2863,PASS,
2024_03_05_15_20_11_BathroomCabinet_problemId4_62b0b9d60841bfa66838f436.json,62b0b9d60841bfa66838f436,BathroomCabinet,4,1,13.87463333,2.91255,5.2095,7.370066667,2.040233333,3.599133333,5.319033333,PASS,
2024_03_05_10_02_05_Bookshelf_problemId7_5d6ac7e17658a1001a8c63b2.json,5d6ac7e17658a1001a8c63b2,Bookshelf,7,1,11.45206667,2.413733333,4.6268,5.995333333,1.906266667,3.210283333,4.6836,PASS,
2024_03_05_10_28_14_Bookshelf_problemId12_63c40b98533b26ec941005c3.json,63c40b98533b26ec941005c3,Bookshelf,12,1,29.8189,6.69295,9.639083333,12.84168333,2.03,3.737933333,6.56005,PASS,
2024_03_05_10_50_45_Bookshelf_problemId11_63052f20afc39e87110eb83e.json,63052f20afc39e87110eb83e,Bookshelf,11,1,58.60451667,14.43568333,23.4038,29.51766667,8.242433333,17.7317,22.78578333,PASS,
2024_03_05_15_26_32_BathroomCabinet_problemId11_630b78df7445f304dfb7d50c.json,630b78df7445f304dfb7d50c,BathroomCabinet,11,1,16.54106667,4.498616667,6.785916667,8.1571,1.78805,2.978966667,5.196433333,PASS,
2024_02_25_15_45_02_DresserDrawer_problemId3_5e8aa39f3dabf475987ddaf3.json,5e8aa39f3dabf475987ddaf3,DresserDrawer,3,3,12.14518333,2.568683333,3.9194,5.8482,1.512416667,3.18925,4.69315,PASS,
2024_03_05_15_31_19_BathroomCabinet_problemId7_63d5a05179cf91a6e6a652cb.json,63d5a05179cf91a6e6a652cb,BathroomCabinet,7,1,24.44035,5.805016667,8.8439,11.31001667,4.820766667,8.04465,10.15683333,PASS,
